Filial;Pedido;Ped EBS;Razão Social;Fim Ciclo;OTIF;ON_TIME;IN_FULL;Data Emissão;Data Previsão;Data Ult Ent;Prev KG;Entregue KG;Cancel KG;Pendente KG;CNPJ
421;32504674;33472708;MARIA DO LIVRAMENTO FERNANDES FONTENELE 02578095388;S;N;N;N;17/01/2022;27/01/2022;01/02/2022;31,4;11,8;19,6;-3,55E-15;2,45035E+13
20;93766819;33533805;MARIA DO SOCORRO OLIVEIRA CARDOSO 21510539387;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;56,952;55,53372096;1,41827904;0;3,51862E+13
421;66578928;33506960;M FORTUNA DE SOUZA VERAS ME;S;N;S;N;24/01/2022;03/02/2022;01/02/2022;41,8;33,8;8;0;4,14195E+13
01M;23672369;33547573;MM COMERCIAL DE ALIMENTOS LTDA;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;140;140;0;0;3,06456E+13
01M;23672370;33547574;MM COMERCIAL DE ALIMENTOS LTDA;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;35,1;35,1;0;0;3,06456E+13
23;85298105;33531830;MARIA DA CONCEICAO DE OLIVEIRA BESERRA;N;;;;27/01/2022;07/02/2022;01/02/2022;88,536;83,736;0;4,8;4,48929E+11
421;94900522;33481978;L CARREIRO NETO - ME;N;;;;18/01/2022;27/01/2022;01/02/2022;521,69;475,16;2,4;44,13;2,68317E+13
421;94900570;33540586;L CARREIRO NETO - ME;S;S;S;S;28/01/2022;10/02/2022;01/02/2022;99,36;99,36;0;0;2,68317E+13
421;94900571;33540587;L CARREIRO NETO - ME;S;S;S;S;28/01/2022;10/02/2022;01/02/2022;30;30;0;0;2,68317E+13
21;11741936;33447649;MARCIA ELAYNE PEREIRA 04827270392;N;;;;12/01/2022;17/01/2022;01/02/2022;394,143;367,993;0;26,15;3,62496E+13
01M;87385501;33516369;FANY DE MACEDO BARBOSA;S;N;N;N;25/01/2022;27/01/2022;01/02/2022;38,544;35,184;3,36;0;3,0891E+13
426;30265862;33519623;D ARAUJO DO NASCIMENTO;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;15;10;5;0;1,66422E+13
426;6501651;33522660;D ARAUJO DO NASCIMENTO;S;N;N;N;26/01/2022;31/01/2022;01/02/2022;347,69;252,288;95,402;0;1,66422E+13
421;56090794;33525398;MARIA INEZ FONTELES;S;N;S;N;26/01/2022;03/02/2022;01/02/2022;216,76;189,8;26,96;-2,84E-14;3,53797E+13
421;66578923;33528552;MARIA JOSE FERREIRA VERAS 41030974349;S;S;S;S;24/01/2022;03/02/2022;01/02/2022;33,064;33,064;0;0;1,88459E+13
421;32504672;33470559;A JOSE MOREIRA COMERCIAL - ME;S;N;N;N;17/01/2022;27/01/2022;01/02/2022;31,9;23,08;8,82;0;2,72979E+13
01M;30266396;33539124;MERCANTIL MEDEIROS LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;490;490;0;0;6,35636E+13
01M;50453128;33539125;MERCANTIL MEDEIROS LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;1260;1260;0;0;6,35636E+13
01M;23672348;33536807;MARIA DE FATIMA DE CARVALHO LIMA 01793125376;S;N;N;N;28/01/2022;28/01/2022;01/02/2022;29,36;10,96;18,4;0;4,49244E+13
01M;29864534;33531703;SUPERMERCADO PROGRESSO LTDA;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;1542,69;655,165;887,525;0;6,88131E+12
01M;29864536;33532567;SUPERMERCADO PROGRESSO LTDA;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;680;680;0;0;6,88131E+12
23;42125012;33534245;LUCIA MARIA LAGES DA SILVA ME;N;;;;27/01/2022;07/02/2022;01/02/2022;353,474;303,614;0;49,86;1,09884E+13
01M;93556862;33480302;F.I.R. ALBUQUERQUE DISTRIBUIDORA LTDA;S;N;N;N;18/01/2022;20/01/2022;01/02/2022;237,395;216,935;20,46;0;3,95401E+13
421;74844619;33534106;EVANDRO ARAUJO DE SOUSA;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;35,544;35,544;0;0;2,18823E+13
21;23655675;33521554;ANTONIO F DE CASTRO - ME;N;;;;25/01/2022;03/02/2022;01/02/2022;324,215;222,209;0;102,006;1,02889E+13
01M;52821137;33542217;F PIMENTA COM DE ALIM EIRELI;S;N;S;N;28/01/2022;01/02/2022;01/02/2022;311,578;304,148;7,43;-5,68E-14;7,43851E+12
421;66578924;33515172;BENEDITA TELES DA SILVA - ME;S;N;S;N;24/01/2022;03/02/2022;01/02/2022;53,76;50,16;3,6;0;1,17771E+13
21;2214899;33530137;A. DE S. TELES - ME;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;32;32;0;0;5,83194E+12
01M;74870805;33463352;MARIA AURISTELA NEVES DE MENEZES;S;N;N;S;14/01/2022;18/01/2022;01/02/2022;240;240;0;0;3,50864E+13
20;35474096;33529220;C MARCOS NETO MERCADINHO - ME;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;490;490;0;0;2,04242E+13
20;35474097;33529221;C MARCOS NETO MERCADINHO - ME;S;N;S;N;27/01/2022;03/02/2022;01/02/2022;42;30;12;0;2,04242E+13
20;35474098;33529222;C MARCOS NETO MERCADINHO - ME;N;;;;27/01/2022;03/02/2022;01/02/2022;216,09;142,45;0;73,64;2,04242E+13
20;37334663;33548816;THIAGO MAGNO SILVERIO DA FONSECA EIRELI;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;150;150;0;0;1,27205E+13
20;37334664;33548817;THIAGO MAGNO SILVERIO DA FONSECA EIRELI;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;150;150;0;0;1,27205E+13
20;93766822;33538773;ISLANIA FERREIRA MOREIRA - ME;S;N;N;N;28/01/2022;31/01/2022;01/02/2022;179,758;155,617976;24,140024;0;1,8478E+13
20;93766823;33537830;ISLANIA FERREIRA MOREIRA - ME;S;N;N;S;28/01/2022;31/01/2022;01/02/2022;29,72;29,72;0;0;1,8478E+13
01M;23672245;33459640;GRASIELLA RODRIGUES LOPES 93116160368;S;N;N;S;14/01/2022;17/01/2022;01/02/2022;9,44;9,44;0;0;2,53987E+13
421;66578925;33506953;GABRIEL ARAUJO DA SILVA - ME;S;S;S;S;24/01/2022;03/02/2022;01/02/2022;44,915;44,915;0;0;4,21076E+13
421;56090750;33480831;JOSE DANNYLO RODRIGUES BRAZ - ME;S;N;N;N;18/01/2022;27/01/2022;01/02/2022;263,818;238,238;25,58;0;1,13859E+13
01M;23672359;33539968;COMERCIAL DE ALIMENTOS SANTA TEREZINHA L;S;N;S;N;28/01/2022;01/02/2022;01/02/2022;231,296;210,416;20,88;0;7,91694E+12
01M;59387600;33476955;SUPERMERCADO SEMPREAKI LTDA;N;;;;18/01/2022;19/01/2022;01/02/2022;719,836;673,696;2,4;43,74;3,52801E+13
01M;59387636;33510645;SUPERMERCADO SEMPREAKI LTDA;N;;;;24/01/2022;26/01/2022;01/02/2022;1115,325;1069,55;0;45,775;3,52801E+13
20;94351523;33547577;LIDERCOM DISTRIB E COM DE ALIM LTDA;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;150;150;0;0;2,51837E+13
01M;5309173;33533239;JUBAIA COML DE PROD ALIMENTICIOS LTDA;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;32;32;0;0;1,23692E+13
01M;5309174;33533244;JUBAIA COML DE PROD ALIMENTICIOS LTDA;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;3,2;3,2;0;0;1,23692E+13
01M;5309175;33533245;JUBAIA COML DE PROD ALIMENTICIOS LTDA;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;99,68;96,48;3,2;0;1,23692E+13
21;65577762;33526182;SUPERMERCADO PALOMA LTDA;S;S;S;S;26/01/2022;02/02/2022;01/02/2022;43,2;43,2;0;0;2,81618E+13
23;42125005;33525329;JOSIAS A SAMPAIO NETO ME;N;;;;26/01/2022;31/01/2022;01/02/2022;314,16;269,76;0;44,4;5,04587E+11
421;56090792;33525395;FRANCISCO CARLITO CORDEIRO FILHO 06580649321;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;50,055;50,055;0;0;2,74845E+13
23;85298103;33524754;PAULO CESAR R DA LUZ ME;N;;;;26/01/2022;07/02/2022;01/02/2022;55,76;53,36;0;2,4;2,99401E+12
23;85298099;33524457;JOSE NILSON DE ALMEIDA 32738889387;N;;;;26/01/2022;07/02/2022;01/02/2022;174,248;156,248;0;18;3,64803E+13
20;93766824;33537845;GILVAN SALVIANO DE SOUSA - ME;S;N;N;N;28/01/2022;31/01/2022;01/02/2022;21,32;19,4;1,92;0;7,59515E+12
20;70833768;33517975;ANTONIO CARNEIRO DE BARBOSA DE OLIVEIRA 85328472349;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;87,3;75,78;11,52;0;2,22759E+13
421;94900544;33505686;GERARDO GOMES DA SILVA MERCEARIA ME;N;;;;24/01/2022;03/02/2022;01/02/2022;221,33;172,34;0;48,99;2,28371E+11
421;94900574;33539575;MANOEL BIAPINO DE BARROS - ME;S;S;S;S;28/01/2022;10/02/2022;01/02/2022;3,715;3,715;0;0;1,03406E+13
20;35474082;33517986;ANTONIO NERES SA DA SILVA 88505200349;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;87,4;80;7,4;0;4,03699E+13
21;65577763;33526183;P. N. O. SARMENTO - COMERCIO - ME;S;S;S;S;26/01/2022;02/02/2022;01/02/2022;350;350;0;0;2,03466E+13
21;65577764;33526184;P. N. O. SARMENTO - COMERCIO - ME;S;S;S;S;26/01/2022;02/02/2022;01/02/2022;12,48;12,48;0;0;2,03466E+13
01M;23672345;33533165;JOSE VALDENIR DA SILVA 84474645391;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;48,1875;47,816928;0,370572;0;3,76529E+13
20;60950270;33517825;FRANCISCO AQUINO DE ALMEIDA;N;;;;25/01/2022;04/02/2022;01/02/2022;278,08;193,16;0;84,92;5,01417E+12
01M;42746367;33546747;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA;N;;;;28/01/2022;01/02/2022;01/02/2022;100,4;99,8;0;0,6;1,30045E+13
01M;42746378;33546749;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA;N;;;;31/01/2022;01/02/2022;01/02/2022;279;269;0;10;1,30045E+13
01M;42746379;33546793;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;126,2;126,2;0;0;1,30045E+13
20;27439313;33549020;EVELANY SILVERIO DA FONSECA - ME;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;150;150;0;0;1,36789E+13
21;30265511;33507538;J.S.N COMERCIO EIRELI - ME;S;S;S;S;24/01/2022;04/02/2022;01/02/2022;7;7;0;0;3,33558E+13
21;66788825;33337321;J.S.N COMERCIO EIRELI - ME;S;N;N;N;21/12/2021;30/12/2021;01/02/2022;191,412;181,492;9,92;0;3,33558E+13
21;66788915;33507537;J.S.N COMERCIO EIRELI - ME;N;;;;24/01/2022;04/02/2022;01/02/2022;146,808;127,64;0;19,168;3,33558E+13
421;40543334;33359157;G. D. COMERCIO DE ALIMENTOS E PERFUMARIA;S;N;N;N;24/12/2021;07/01/2022;01/02/2022;244,324;239,524;4,8;0;1,78732E+13
421;56090776;33498415;G. D. COMERCIO DE ALIMENTOS E PERFUMARIA;N;;;;21/01/2022;03/02/2022;01/02/2022;484,768;421,828;0;62,94;1,78732E+13
01M;6121020;33533662;JPM COMERCIAL DE ALIMENTOS LTDA - EPP;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;357,339;331,179;26,16;0;4,01875E+13
01M;950884;33538335;FRANCISCO RIELDER CAVALCANTE FERNANDO LI;N;;;;28/01/2022;31/01/2022;01/02/2022;74,196;0,6;3,8236047;69,7723953;1,0391E+12
20;68190692;33518577;M ARCILENE MEDEIROS DE FREITAS;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;1500;1500;0;0;1,36069E+13
21;46871028;33443702;ELISMAR C. DE ALMEIDA - COMERCIO - EPP;N;;;;11/01/2022;11/01/2022;01/02/2022;332,924;265,884;0;67,04;5,52995E+12
20;93766825;33538571;PALLOMA DAVILA FERREIRA DE FREITAS 05555360339;S;N;N;N;28/01/2022;31/01/2022;01/02/2022;35,2;33,6;1,6;0;3,50724E+13
20;37334661;33548814;J OLIMPIO PEREIRA BRITO ME;S;N;S;N;31/01/2022;01/02/2022;01/02/2022;111,6;81,6;30;0;2,48329E+12
01M;59533425;33462537;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;S;N;N;S;14/01/2022;18/01/2022;01/02/2022;1064,98;1064,98;0;0;3,87976E+12
01M;59536785;33539464;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;22800;22800;0;0;3,87976E+12
01M;59536786;33539462;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;2200;2200;0;0;3,87976E+12
21;2214894;33529451;MARCOS A. A. DA CUNHA & CIA LTDA - ME;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;216;216;0;0;5,07486E+12
21;2214895;33529454;MARCOS A. A. DA CUNHA & CIA LTDA - ME;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;21,6;21,6;0;0;5,07486E+12
01M;76652905;33469466;SARAIVA & CORDEIRO COMERCIO VAREJISTADE;S;N;N;S;14/01/2022;18/01/2022;01/02/2022;160;160;0;0;2,75186E+13
01M;76652938;33497701;SARAIVA & CORDEIRO COMERCIO VAREJISTADE;N;;;;21/01/2022;24/01/2022;01/02/2022;884,08;845,82;0;38,26;2,75186E+13
01M;93556838;33455423;JOSE GLEISON DE AZEVEDO AGUIAR;S;N;N;N;13/01/2022;17/01/2022;01/02/2022;756,24;724,04;32,2;0;5,02779E+12
01M;93556960;33534079;JOSE GLEISON DE AZEVEDO AGUIAR;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;529,381;501,636;27,745;0;5,02779E+12
01M;93556963;33534102;JOSE GLEISON DE AZEVEDO AGUIAR;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;10;10;0;0;5,02779E+12
421;39501646;33538622;MERCADINHO E PANIFICADORA ARACOIABA LTDA;S;N;S;N;28/01/2022;03/02/2022;01/02/2022;516,568;251,56;265,008;0;1,03876E+13
01M;40950620;33501820;JOSE MARIA RODRIGUES DE OLIVEIRA MERCEAR;N;;;;21/01/2022;24/01/2022;01/02/2022;519,97;419,02;58,53;42,42;4,00352E+12
01M;42744999;33523834;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA;S;N;N;S;22/01/2022;27/01/2022;01/02/2022;200;200;0;0;1,30045E+13
01M;93819303;33439417;BODEGAO ATACAREJO LTDA;N;;;;11/01/2022;13/01/2022;01/02/2022;965,66;914,66;6;45;2,93865E+13
433;79588380;33367563;COMERC QUEIROZ & CIA LTDA;S;N;N;N;27/12/2021;03/01/2022;01/02/2022;1590,604;1372,984;217,62;2,27E-13;7,97911E+12
433;79588491;33535533;COMERC QUEIROZ & CIA LTDA;S;S;S;S;28/01/2022;02/02/2022;01/02/2022;170;170;0;0;7,97911E+12
20;35474081;33517984;L G RAMOS DE OLIVEIRA ME;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;48;46,32;1,68;0;1,91514E+12
433;59536667;33536910;LINS COML DISTRIB DE ALIM LTDA;S;S;S;S;29/12/2021;04/02/2022;01/02/2022;840;840;0;0;4,07962E+13
433;62121602;33370587;REDE 10 ATACADO LTDA - EPP;S;N;N;S;28/12/2021;17/01/2022;01/02/2022;4500;4500;0;0;3,82819E+13
01M;52821141;33542223;COML PRAIA E MAR EIRELI;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;125,576;125,576;0;0;1,76081E+13
01M;52821130;33542211;CASA AGUIAR LTDA - ME;S;N;N;N;28/01/2022;31/01/2022;01/02/2022;125,99;107,22;18,77;0;7,28112E+12
421;32504716;33518646;MARIA DO LIVRAMENTO DA SILVA 87027011387;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;54;48,72;5,28;0;3,75331E+13
01M;52821134;33543140;SANFARMA SANTO ANTONIO FARMACEUTICA LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;5,494;5,494;0;0;7,46748E+12
01M;78704436;33481816;JOAO BATISTA DA SILVA GENEROS ALIMENTICI;N;;;;19/01/2022;20/01/2022;01/02/2022;610,116;577,176;1,2;31,74;1,73526E+12
23;25995740;33452054;OLIVEIRA SIMAO LTDA;S;N;N;N;13/01/2022;21/01/2022;01/02/2022;901,62;848,14;53,48;0;2,19984E+13
23;25995772;33529523;OLIVEIRA SIMAO LTDA;S;S;S;S;26/01/2022;01/02/2022;01/02/2022;1550;1550;0;0;2,19984E+13
23;25995786;33529537;OLIVEIRA SIMAO LTDA;S;N;S;N;26/01/2022;08/02/2022;01/02/2022;879,744;667,084;212,66;1,14E-13;2,19984E+13
01M;59387655;33524394;ENEAS GOMES PARENTE - ME;S;N;N;N;26/01/2022;28/01/2022;01/02/2022;485,12;479,12;6;0;7,53433E+12
23;42125008;33534219;MARIA LUCILENE DE SOUSA;N;;;;27/01/2022;07/02/2022;01/02/2022;58,944;51,72;0;7,224;5,15352E+12
23;42125009;33534220;MARIA LUCILENE DE SOUSA;N;;;;27/01/2022;07/02/2022;01/02/2022;52,22;36,35;0;15,87;5,15352E+12
23;42125010;33534221;MARIA LUCILENE DE SOUSA;S;S;S;S;27/01/2022;07/02/2022;01/02/2022;76;76;0;0;5,15352E+12
23;42125011;33534222;MARIA LUCILENE DE SOUSA;S;S;S;S;27/01/2022;07/02/2022;01/02/2022;87,15;87,15;0;0;5,15352E+12
421;66578930;33509236;GENIVALDA FERREIRA NEVES MICRO;N;;;;24/01/2022;03/02/2022;01/02/2022;80,6;48,6;0;32;5,27136E+12
20;75416766;33531948;J PEDRO FILHO MERC ME;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;28,8;6,8;22;0;5,48157E+12
21;23655677;33521563;WAGNER MACHADO DA SILVA MERCADINHO - ME;N;;;;25/01/2022;03/02/2022;01/02/2022;89,98;73,98;0;16;1,65543E+13
21;65577658;33233574;IND. E COM. DE CEREAIS DOM DUAN LTDA- EPP;N;;;;03/12/2021;08/12/2021;01/02/2022;402,4;371,2;0;31,2;2,30793E+13
21;65577752;33489716;IND. E COM. DE CEREAIS DOM DUAN LTDA- EPP;N;;;;19/01/2022;26/01/2022;01/02/2022;652,65;615,75;0;36,9;2,30793E+13
23;25995724;33414979;IRANY HONORIO DA SILVA;S;N;N;N;06/01/2022;13/01/2022;01/02/2022;3580,778;3252,098;328,68;0;6,96116E+13
23;25995748;33476340;IRANY HONORIO DA SILVA;S;N;N;N;18/01/2022;25/01/2022;01/02/2022;692,1;506,1;186;0;6,96116E+13
433;42745993;33536653;CARREFOUR COMERCIO E INDUSTRIA LTDA;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;1800;1800;0;0;4,55439E+13
433;42746395;33549048;CARREFOUR COMERCIO E INDUSTRIA LTDA;S;N;S;N;29/01/2022;01/02/2022;01/02/2022;1640,51;998,8;641,71;0;4,55439E+13
01M;40950691;33540588;FRANCISCO DAS CHAGAS PINTO ARTIGOS ESCOL;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;50;50;0;0;6,33516E+13
23;64211432;33529607;PAULO H CORTEZ;S;S;S;S;27/01/2022;07/02/2022;01/02/2022;200;200;0;0;1,21938E+13
01M;67121467;33438101;NOSSO MERCANTIL COMERCIO VAREJISTA DE GE;N;;;;11/01/2022;13/01/2022;01/02/2022;1068,038;998,67;0;69,368;1,12081E+13
01M;67121606;33523457;NOSSO MERCANTIL COMERCIO VAREJISTA DE GE;N;;;;26/01/2022;27/01/2022;01/02/2022;560,396;512,232;0;48,164;1,12081E+13
23;85298104;33530885;RYANE BARROS NEVES 05413219350;N;;;;27/01/2022;07/02/2022;01/02/2022;69,545;62,135;0;7,41;3,44785E+13
23;64211427;33527452;M Z B DE MOURA MINIMERCADOS;N;;;;27/01/2022;07/02/2022;01/02/2022;142,44;121,44;0;21;1,06858E+13
01M;23672371;33549217;ANTONIO JOSE SOARES BESERRA ME;N;;;;31/01/2022;01/02/2022;01/02/2022;161;105,68;0;55,32;2,35934E+13
426;6501634;33492282;ELTON C DE ARAUJO;S;N;N;N;20/01/2022;27/01/2022;01/02/2022;1102,578;775,872;326,706;0;6,198E+12
21;23655674;33519397;MARIA DE LOURDES CARVALHO DA SILVA;S;N;N;N;25/01/2022;31/01/2022;01/02/2022;315,28;269,9;45,38;0;5,22281E+14
421;32504718;33525825;ADAILTON ALMEIDA DA CRUZ;S;N;N;N;26/01/2022;31/01/2022;01/02/2022;40,63;28;12,63;0;1,75004E+13
23;10272685;33510284;FRANCISCO ANTONIO DA COSTA BEZERRA ME;S;N;S;N;24/01/2022;01/02/2022;01/02/2022;35,76;15,36;20,4;0;1,42683E+13
23;10272701;33525604;FRANCISCO ANTONIO DA COSTA BEZERRA ME;N;;;;26/01/2022;08/02/2022;01/02/2022;154,416;97,884;0;56,532;1,42683E+13
01M;40950696;33542357;RIVALDO DA SILVA BARROS - ME;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;250;250;0;0;2,58838E+12
01M;40950697;33542358;RIVALDO DA SILVA BARROS - ME;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;1,2;1,2;0;0;2,58838E+12
01M;42746495;33548119;CENCOSUD BRASIL COMERCIAL S/A;S;N;S;N;31/01/2022;01/02/2022;01/02/2022;273,3;237,992;35,308;0;3,93469E+13
01M;87385554;33546331;J A COMERCIAL LTDA;N;;;;29/01/2022;31/01/2022;01/02/2022;960;840;0;120;2,15018E+13
